央视频道,#genre#
CCTV-1,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv01zh
CCTV-2,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv02jj
CCTV-3,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv03zy
CCTV-4,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv04zw
CCTV-5,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv05ty
CCTV-5+,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv05pl
CCTV-6,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv06dy
CCTV-7,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv07js
CCTV-8,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv08dsj
CCTV-9,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv09jl
CCTV-10,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv10jy
CCTV-11,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv11xq
CCTV-12,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv12sf
CCTV-13,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv13xw
CCTV-14,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv14se
CCTV-15,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv15yy
CCTV-16,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv16ay
CCTV-17,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv17ny
CCTV-1,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv01zh
CCTV-2,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv02jj
CCTV-3,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv03zy
CCTV-4,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv04zw
CCTV-5,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv05ty
CCTV-5+,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv05pl
CCTV-6,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv06dy
CCTV-7,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv07js
CCTV-8,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv08dsj
CCTV-9,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv09jl
CCTV-10,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv10jy
CCTV-11,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv11xq
CCTV-12,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv12sf
CCTV-13,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv13xw
CCTV-14,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv14se
CCTV-15,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv15yy
CCTV-16,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv16ay
CCTV-17,http://129.226.149.79:4785/html/V6.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=cctv17ny
卫视频道,#genre#
北京卫视,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsbeijing
湖南卫视,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wshunan
江苏卫视,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsjiangsu
浙江卫视,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wszhejiang
东方卫视,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsdongfang
安徽卫视,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsanhui
广东卫视,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsguangdong
深圳卫视,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsshenzhen
辽宁卫视,http://129.226.149.79:4785/html/V4.php?access_token=DY1123_V4GD_wodewxLSG_yU6Gf&id=wsliaoning
